,0
533,0
534,1
535,0
536,0
537,1
538,0
539,0
540,1
541,1
542,1
543,0
544,1
545,1
546,1
547,1
548,1
549,0
550,1
551,1
552,1
553,0
554,0
555,0
556,1
557,1
558,1
559,1
560,1
561,0
562,1
563,0
564,1
565,0
566,0
567,1
568,1
569,1
570,1
571,0
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,0
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,0
591,0
592,0
593,1
594,0
595,1
596,1
597,0
598,1
599,1
600,1
601,0
602,1
603,1
604,1
605,0
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,1
614,1
615,1
616,1
617,0
618,0
619,1
620,1
621,0
622,1
623,0
624,1
625,0
626,1
627,0
628,1
629,1
630,0
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,0
642,0
643,1
644,0
645,0
646,1
647,1
648,1
649,0
650,1
651,1
652,1
653,1
654,1
655,0
656,0
657,1
658,1
659,1
660,0
661,0
662,1
663,0
664,0
665,0
666,0
667,1
668,1
669,0
670,0
671,1
672,1
673,1
674,0
675,1
676,1
677,1
678,0
679,1
680,0
681,0
682,1
683,1
684,0
685,1
686,1
687,1
688,1
689,1
690,0
691,1
692,1
693,1
694,0
695,0
696,0
697,0
698,1
699,1
700,1
701,1
702,1
703,1
704,0
705,1
706,0
707,1
708,1
709,1
710,0
711,1
712,1
713,0
714,0
715,1
716,1
717,0
718,0
719,1
720,0
721,1
722,1
723,0
724,1
725,1
726,1
727,0
728,0
729,1
730,0
731,0
732,1
733,0
734,1
735,0
736,1
737,1
738,1
739,0
740,1
741,1
742,1
743,1
744,0
745,1
746,1
747,1
748,1
749,0
750,0
751,1
752,1
753,1
754,0
755,1
756,1
757,1
758,0
759,0
760,0
761,0
762,0
763,1
764,1
765,1
766,1
767,1
768,1
769,0
770,1
771,1
772,0
773,0
774,1
775,1
776,0
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,0
787,1
788,0
789,1
790,0
791,0
792,1
793,1
794,0
795,1
796,0
797,1
798,0
799,0
800,0
801,1
802,1
803,0
804,1
805,1
806,0
807,0
808,1
809,1
810,0
811,1
812,0
813,0
814,1
815,0
816,1
817,1
818,0
819,1
820,1
821,1
822,1
823,1
824,0
825,1
826,1
827,1
828,0
829,1
830,1
831,0
832,0
833,0
834,0
835,0
836,1
837,1
838,1
839,0
840,1
841,1
842,1
843,1
844,0
845,1
846,0
847,1
848,1
849,0
850,0
851,1
852,1
853,0
854,1
855,0
856,1
857,0
858,0
859,0
860,0
861,1
862,1
863,0
864,1
865,1
866,1
867,1
868,1
869,0
870,1
871,1
872,1
873,1
874,1
875,1
876,0
877,1
878,0
879,1
880,1
881,1
882,0
883,0
884,1
885,1
886,1
887,0
888,0
889,1
890,1
891,0
892,0
893,0
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,0
902,0
903,1
904,1
905,1
906,1
907,1
908,0
909,0
910,1
911,1
912,1
913,0
914,0
915,1
916,0
917,1
918,1
919,0
920,1
921,1
922,0
923,0
924,1
925,0
926,1
927,1
928,0
929,0
930,0
931,1
932,0
933,0
934,1
935,0
936,0
937,1
938,1
939,1
940,1
941,1
942,0
943,1
944,0
945,1
946,0
947,1
948,1
949,1
950,1
951,0
952,1
953,1
954,1
955,0
956,1
957,1
958,1
959,1
960,1
961,0
962,0
963,1
964,1
965,1
966,0
967,1
968,1
969,1
970,1
971,0
972,0
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,0
983,1
984,1
985,0
986,0
987,0
988,0
989,1
990,1
991,1
992,0
993,0
994,1
995,0
996,0
997,1
998,1
999,0
1000,0
1001,0
1002,0
1003,1
1004,0
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,0
1012,0
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,0
1022,1
1023,1
1024,0
1025,1
1026,0
1027,0
1028,0
1029,0
1030,0
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,0
1039,0
1040,1
1041,1
1042,1
1043,1
1044,0
1045,0
1046,0
1047,1
1048,0
1049,1
1050,1
1051,1
1052,0
1053,1
1054,1
1055,1
1056,0
1057,1
1058,1
1059,0
1060,1
1061,0
1062,0
1063,0
1064,0
1065,1
1066,1
1067,1
1068,1
1069,0
1070,0
1071,0
1072,1
1073,1
1074,0
1075,1
1076,0
1077,0
1078,1
1079,0
1080,0
1081,0
1082,0
1083,1
1084,1
1085,0
1086,1
1087,1
1088,1
1089,1
1090,1
1091,1
1092,1
1093,0
1094,0
1095,1
1096,1
1097,0
1098,1
1099,1
1100,0
1101,1
1102,0
1103,0
1104,0
1105,0
1106,1
1107,0
1108,1
1109,0
1110,0
1111,1
1112,0
1113,0
1114,0
1115,1
1116,1
1117,0
1118,0
1119,0
1120,0
1121,1
1122,1
1123,1
1124,1
1125,1
1126,0
1127,0
1128,1
1129,1
1130,0
1131,1
1132,0
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,0
1141,0
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,0
1151,1
1152,1
1153,0
1154,1
1155,0
1156,1
1157,0
1158,0
1159,1
1160,0
1161,1
1162,0
1163,1
1164,1
1165,1
1166,1
1167,1
1168,0
1169,1
1170,1
1171,1
1172,1
1173,0
1174,1
1175,0
1176,1
1177,0
1178,1
1179,1
1180,0
1181,1
1182,0
1183,1
1184,0
1185,1
1186,1
1187,1
1188,1
1189,0
1190,1
1191,1
1192,0
1193,1
1194,0
1195,1
1196,1
1197,0
1198,1
1199,0
1200,1
1201,1
1202,1
1203,1
1204,0
1205,1
1206,1
1207,1
1208,1
1209,0
1210,1
1211,0
1212,1
1213,0
1214,0
1215,0
1216,0
1217,1
1218,0
1219,0
1220,1
1221,0
1222,1
1223,1
1224,1
1225,0
1226,1
1227,1
1228,1
1229,0
1230,1
1231,0
1232,1
1233,0
1234,1
1235,0
1236,1
1237,1
1238,0
1239,1
1240,1
1241,1
1242,1
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,1
1250,1
1251,0
1252,0
1253,1
1254,1
1255,0
1256,1
1257,0
1258,0
1259,0
1260,0
1261,1
1262,1
1263,1
1264,0
1265,1
1266,0
1267,1
1268,0
1269,0
1270,0
1271,0
1272,1
1273,1
1274,1
1275,1
1276,1
1277,1
1278,0
1279,1
1280,0
1281,1
1282,1
1283,1
1284,1
1285,0
1286,0
1287,1
1288,1
1289,1
1290,0
1291,1
1292,1
1293,0
1294,1
1295,1
1296,1
1297,1
1298,0
1299,1
1300,1
1301,0
1302,1
1303,1
1304,0
1305,0
1306,0
1307,1
1308,0
1309,1
1310,0
1311,0
1312,0
1313,1
1314,1
1315,1
1316,1
1317,0
1318,1
1319,1
1320,0
1321,1
1322,0
1323,1
1324,1
1325,1
1326,1
1327,1
1328,0
1329,1
1330,1
1331,0
1332,1
1333,0
1334,1
1335,1
1336,1
1337,0
1338,0
1339,0
1340,1
1341,1
1342,1
1343,1
1344,0
1345,1
1346,0
1347,1
1348,0
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,0
1356,1
1357,1
1358,1
1359,1
1360,0
1361,0
1362,1
1363,1
1364,1
1365,0
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,0
1373,1
1374,1
1375,1
1376,1
1377,1
1378,0
1379,1
1380,1
1381,0
1382,1
1383,0
1384,0
1385,0
1386,0
1387,1
1388,1
1389,0
1390,1
1391,1
1392,0
1393,0
1394,0
1395,0
1396,0
1397,1
1398,0
1399,1
1400,1
1401,1
1402,1
1403,1
1404,1
1405,0
1406,0
1407,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,0
1414,0
1415,1
1416,1
1417,0
1418,1
1419,0
1420,1
1421,0
1422,0
1423,1
1424,1
1425,1
1426,1
1427,0
1428,1
1429,1
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,0
1437,1
1438,1
1439,1
1440,0
1441,0
1442,1
1443,0
1444,1
1445,1
1446,0
1447,0
1448,1
1449,1
1450,1
1451,1
1452,0
1453,1
1454,0
1455,1
1456,1
1457,0
1458,0
1459,1
1460,1
1461,1
1462,1
1463,1
1464,0
1465,1
1466,1
1467,1
1468,1
1469,0
1470,1
1471,0
1472,1
1473,0
1474,0
1475,0
1476,1
1477,1
1478,1
1479,0
1480,1
1481,1
1482,1
1483,1
1484,1
1485,0
1486,1
1487,1
1488,0
1489,1
1490,1
1491,0
1492,0
1493,1
1494,0
1495,0
1496,0
1497,1
1498,1
1499,1
1500,1
1501,1
1502,1
1503,0
1504,0
1505,1
1506,1
1507,0
1508,0
1509,1
1510,0
1511,0
1512,1
1513,0
1514,1
1515,1
1516,1
1517,1
1518,1
1519,0
1520,0
1521,0
1522,0
1523,1
1524,0
1525,1
1526,1
1527,1
1528,1
1529,0
1530,1
1531,1
1532,1
1533,1
1534,1
1535,1
1536,0
1537,0
1538,1
1539,0
1540,0
1541,1
1542,1
1543,1
1544,0
1545,1
1546,1
1547,0
1548,0
1549,1
1550,0
1551,0
1552,1
1553,0
1554,1
1555,0
1556,0
1557,0
1558,0
1559,1
1560,0
1561,1
1562,1
1563,1
1564,1
1565,1
1566,0
1567,1
1568,0
1569,0
1570,1
1571,1
1572,0
1573,0
1574,1
1575,0
1576,0
1577,1
1578,1
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,1
1586,0
1587,1
1588,1
1589,0
1590,0
1591,0
1592,1
1593,0
1594,1
1595,1
1596,1
1597,0
1598,1
1599,1
1600,0
1601,1
1602,1
1603,1
1604,1
1605,1
1606,0
1607,0
1608,1
1609,1
1610,1
1611,1
1612,1
1613,1
1614,1
1615,1
1616,1
1617,0
1618,1
1619,0
1620,0
1621,0
1622,0
1623,0
1624,1
1625,0
1626,1
1627,1
1628,1
1629,1
1630,0
1631,0
1632,0
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,0
1640,0
1641,1
1642,1
1643,1
1644,1
1645,1
1646,1
1647,0
1648,1
1649,0
1650,0
1651,0
1652,0
1653,1
1654,0
1655,0
1656,1
1657,0
1658,1
1659,1
1660,1
1661,1
1662,1
1663,1
1664,1
1665,1
1666,1
1667,1
1668,1
1669,0
1670,0
1671,1
1672,1
1673,1
1674,1
1675,1
1676,1
1677,1
1678,1
1679,1
1680,1
1681,1
1682,1
1683,1
1684,1
1685,1
1686,0
1687,0
1688,1
1689,1
1690,0
1691,0
1692,1
1693,1
1694,1
1695,1
1696,0
1697,1
1698,1
1699,0
1700,1
1701,1
1702,1
1703,1
1704,1
1705,0
1706,1
1707,1
1708,1
1709,1
1710,0
1711,0
1712,1
1713,0
1714,1
1715,1
1716,1
1717,1
1718,0
1719,0
1720,0
1721,1
1722,1
1723,1
1724,0
1725,0
1726,1
1727,0
1728,1
1729,1
1730,1
1731,1
1732,1
1733,1
1734,1
1735,0
1736,0
1737,0
1738,0
1739,1
1740,0
1741,0
1742,1
1743,0
1744,0
1745,1
1746,1
1747,1
1748,1
1749,1
1750,1
1751,1
1752,0
1753,1
1754,1
1755,1
1756,0
1757,1
1758,0
1759,1
1760,1
1761,0
1762,1
1763,1
1764,0
1765,0
1766,1
1767,0
1768,0
1769,0
1770,1
1771,1
1772,0
1773,1
1774,1
1775,0
1776,1
1777,0
1778,1
1779,0
1780,0
1781,1
1782,0
1783,1
1784,1
1785,1
1786,1
1787,1
1788,1
1789,1
1790,1
1791,1
1792,0
1793,1
1794,0
1795,1
1796,0
1797,1
1798,1
1799,1
1800,0
1801,0
1802,1
1803,0
1804,1
1805,1
1806,0
1807,0
1808,1
1809,0
1810,1
1811,1
1812,1
1813,1
1814,0
1815,0
1816,1
1817,0
1818,1
1819,0
1820,1
1821,1
1822,1
1823,0
1824,1
1825,1
1826,0
1827,0
1828,0
1829,1
1830,0
1831,0
1832,1
1833,1
1834,1
1835,1
1836,1
1837,1
1838,0
1839,1
1840,1
1841,0
1842,1
1843,1
1844,0
1845,1
1846,0
1847,1
1848,0
1849,1
1850,1
1851,1
1852,0
1853,0
1854,1
1855,1
1856,0
1857,1
1858,0
1859,1
1860,1
1861,0
1862,1
1863,0
1864,0
1865,1
1866,1
1867,0
1868,0
1869,1
1870,1
1871,0
1872,1
1873,0
1874,0
1875,1
1876,1
1877,0
1878,0
1879,1
1880,0
1881,0
1882,1
1883,0
1884,0
1885,0
1886,1
1887,0
1888,0
1889,1
1890,1
1891,0
1892,1
1893,1
1894,1
1895,0
1896,1
1897,1
1898,0
1899,1
1900,1
1901,0
1902,1
1903,1
1904,0
1905,1
1906,0
1907,1
1908,1
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,0
1916,0
1917,0
1918,0
1919,1
1920,0
1921,0
1922,0
1923,0
1924,0
1925,1
1926,1
1927,1
1928,0
1929,0
1930,1
1931,0
1932,1
1933,1
1934,1
1935,1
1936,1
1937,0
1938,1
1939,1
1940,1
1941,1
1942,1
1943,0
1944,1
1945,1
1946,0
1947,0
1948,1
1949,1
1950,0
1951,0
1952,0
1953,0
1954,1
1955,0
1956,0
1957,1
1958,1
1959,0
1960,1
1961,1
1962,1
1963,0
1964,0
1965,0
1966,1
1967,1
1968,0
1969,0
1970,1
1971,0
1972,1
1973,0
1974,1
1975,1
1976,1
1977,0
1978,1
1979,0
1980,1
1981,1
1982,0
1983,1
1984,0
1985,0
1986,1
1987,0
1988,1
1989,1
1990,1
1991,0
1992,0
1993,1
1994,0
1995,1
1996,0
1997,0
1998,0
1999,0
2000,0
2001,1
2002,0
2003,1
2004,1
2005,1
2006,1
2007,1
2008,1
2009,1
2010,0
2011,0
2012,1
2013,1
2014,0
2015,1
2016,1
2017,1
2018,0
2019,0
2020,0
2021,1
2022,1
2023,1
2024,1
2025,1
2026,1
2027,0
2028,0
2029,0
2030,1
2031,1
2032,1
2033,1
2034,0
2035,1
2036,0
2037,1
2038,1
2039,1
2040,1
2041,1
2042,0
2043,1
2044,0
2045,1
2046,0
2047,1
2048,1
2049,0
2050,1
2051,1
2052,1
2053,1
2054,0
2055,1
2056,1
2057,1
2058,1
2059,1
2060,1
2061,0
2062,0
2063,1
2064,1
2065,1
2066,0
2067,0
2068,1
2069,0
2070,1
2071,0
2072,1
2073,1
2074,0
2075,0
2076,1
2077,0
2078,1
2079,1
2080,0
2081,1
2082,1
2083,1
2084,1
2085,0
2086,1
2087,0
2088,1
2089,1
2090,0
2091,1
2092,1
2093,0
2094,0
2095,1
2096,1
2097,1
2098,1
2099,1
2100,0
2101,1
2102,1
2103,0
2104,0
2105,1
2106,1
2107,0
2108,1
2109,1
2110,0
2111,0
2112,1
2113,0
2114,0
2115,1
2116,1
2117,0
2118,0
2119,1
2120,1
2121,0
2122,1
2123,1
2124,1
2125,0
2126,0
2127,0
2128,0
2129,1
2130,0
2131,0
2132,1
2133,1
2134,0
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,0
2148,0
2149,1
2150,0
2151,1
2152,0
2153,1
2154,0
2155,1
2156,1
2157,1
2158,0
2159,0
2160,0
2161,1
2162,0
2163,1
2164,0
2165,1
2166,0
2167,1
2168,0
2169,1
2170,1
2171,1
2172,0
2173,1
2174,0
2175,1
2176,1
2177,0
2178,0
2179,1
2180,1
2181,1
2182,0
2183,1
2184,1
2185,1
2186,0
2187,1
2188,1
2189,0
2190,1
2191,1
2192,1
2193,1
2194,0
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,1
2202,1
2203,0
2204,1
2205,1
2206,1
2207,1
2208,1
2209,0
2210,0
2211,0
2212,0
2213,0
2214,1
2215,1
2216,1
2217,0
2218,1
2219,1
2220,0
2221,0
2222,0
2223,1
2224,1
2225,1
2226,0
2227,1
2228,1
2229,0
2230,1
2231,0
2232,0
2233,0
2234,0
2235,1
2236,1
2237,0
2238,1
2239,1
2240,0
2241,0
2242,1
2243,1
2244,0
2245,0
2246,1
2247,1
2248,1
2249,1
2250,1
2251,1
2252,1
2253,1
2254,1
2255,1
2256,1
2257,1
2258,1
2259,0
2260,0
2261,1
2262,0
2263,1
2264,1
2265,1
2266,1
2267,1
2268,0
2269,0
2270,0
2271,1
2272,0
2273,1
2274,1
2275,0
2276,0
2277,1
2278,0
2279,0
2280,1
2281,1
2282,0
2283,1
2284,1
2285,1
2286,0
2287,0
2288,0
2289,0
2290,0
2291,1
2292,1
2293,1
2294,1
2295,0
2296,0
2297,1
2298,1
2299,1
2300,0
2301,1
2302,0
2303,0
2304,0
2305,1
2306,0
2307,1
2308,0
2309,1
2310,1
2311,1
2312,1
2313,1
2314,0
2315,0
2316,1
2317,0
2318,1
2319,1
2320,1
2321,1
2322,1
2323,1
2324,0
2325,0
2326,1
2327,0
2328,1
2329,1
2330,0
2331,0
2332,1
2333,1
2334,1
2335,1
2336,1
2337,1
2338,1
2339,1
2340,1
2341,1
2342,1
2343,1
2344,1
2345,1
2346,1
2347,0
2348,0
2349,1
2350,0
2351,0
2352,1
2353,0
2354,1
2355,0
2356,1
2357,0
2358,1
2359,1
2360,1
2361,0
2362,1
2363,0
2364,0
2365,1
2366,0
2367,0
2368,0
2369,1
2370,1
2371,1
2372,1
2373,0
2374,1
2375,1
2376,1
2377,1
2378,0
2379,1
2380,1
2381,0
2382,1
2383,1
2384,1
2385,1
2386,1
2387,1
2388,0
2389,1
2390,0
2391,1
2392,1
2393,1
2394,1
2395,0
2396,0
2397,1
2398,1
2399,1
2400,1
2401,1
2402,0
2403,1
2404,1
2405,1
2406,1
2407,1
2408,1
2409,0
2410,1
2411,0
2412,0
2413,0
2414,1
2415,0
2416,0
2417,1
2418,1
2419,1
2420,1
2421,1
2422,1
2423,0
2424,0
2425,0
2426,0
2427,0
2428,1
2429,1
2430,0
2431,0
2432,1
2433,1
2434,1
2435,1
2436,1
2437,0
2438,1
2439,1
2440,0
2441,1
2442,1
2443,0
2444,1
2445,0
2446,1
2447,1
2448,1
2449,1
2450,1
2451,1
2452,1
2453,1
2454,0
2455,0
2456,0
2457,1
2458,1
2459,0
2460,1
2461,1
2462,1
2463,0
2464,0
2465,1
2466,0
2467,1
2468,1
2469,1
2470,1
2471,1
2472,1
2473,0
2474,1
2475,1
2476,1
2477,1
2478,1
2479,0
2480,1
2481,1
2482,1
2483,1
2484,0
2485,0
2486,0
2487,1
2488,0
2489,1
2490,1
2491,1
2492,0
2493,1
2494,0
2495,1
2496,0
2497,1
2498,1
2499,0
2500,1
2501,1
2502,1
2503,1
2504,1
2505,0
2506,1
2507,0
2508,1
2509,0
2510,0
2511,0
2512,1
2513,1
2514,1
2515,1
2516,1
2517,0
2518,0
2519,0
2520,1
2521,0
2522,0
2523,0
2524,0
2525,0
2526,0
2527,1
2528,1
2529,1
2530,1
2531,1
2532,1
2533,1
2534,0
2535,1
2536,1
2537,0
2538,1
2539,0
2540,0
2541,1
2542,0
2543,0
2544,1
2545,1
2546,0
2547,1
2548,1
2549,0
2550,1
2551,1
2552,1
2553,1
2554,1
2555,1
2556,1
2557,1
2558,1
2559,0
2560,1
2561,1
2562,1
2563,1
2564,1
2565,0
2566,0
2567,1
2568,1
2569,0
2570,1
2571,1
2572,1
2573,1
2574,1
2575,1
2576,0
2577,1
2578,1
2579,0
2580,1
2581,1
2582,1
2583,0
2584,1
2585,0
2586,1
2587,0
2588,1
2589,1
2590,1
2591,1
2592,1
2593,1
2594,1
2595,0
2596,1
2597,1
2598,0
2599,1
2600,0
2601,1
2602,1
2603,0
2604,1
2605,1
2606,1
2607,1
2608,1
2609,0
2610,1
2611,1
2612,1
2613,0
2614,0
2615,1
2616,1
2617,0
2618,1
2619,1
2620,0
2621,0
2622,0
2623,1
2624,0
2625,0
2626,1
2627,1
2628,1
2629,1
2630,1
2631,1
2632,1
2633,0
2634,0
2635,0
2636,1
2637,0
2638,1
2639,1
2640,1
2641,1
2642,1
2643,1
2644,0
2645,1
2646,1
2647,1
2648,1
2649,1
2650,0
2651,1
2652,1
2653,1
2654,0
2655,0
2656,0
2657,1
2658,0
2659,1
2660,0
2661,1
2662,1
2663,1
2664,0
2665,1
2666,1
2667,1
2668,0
2669,0
2670,1
2671,1
2672,0
2673,1
2674,1
2675,0
2676,0
2677,1
2678,1
2679,1
2680,1
2681,0
2682,0
2683,1
2684,0
2685,0
2686,1
2687,1
2688,1
2689,0
2690,1
2691,1
2692,1
2693,1
2694,1
2695,1
2696,1
2697,0
2698,0
2699,1
2700,1
2701,1
2702,1
2703,1
2704,1
2705,1
2706,0
2707,1
2708,0
2709,1
2710,0
2711,1
2712,1
2713,1
2714,1
2715,0
2716,1
2717,0
2718,0
2719,1
2720,1
2721,0
2722,1
2723,1
2724,1
2725,0
2726,1
2727,0
2728,1
2729,0
2730,1
2731,0
2732,0
2733,1
2734,1
2735,1
2736,1
2737,1
2738,1
2739,1
2740,1
2741,1
2742,1
2743,1
2744,0
2745,1
2746,1
2747,1
2748,0
2749,1
2750,0
2751,1
2752,1
2753,1
2754,1
2755,1
2756,1
2757,0
2758,0
2759,0
2760,0
2761,1
2762,1
2763,0
2764,0
2765,1
2766,1
2767,0
2768,0
2769,1
2770,0
2771,0
2772,0
2773,1
2774,1
2775,1
2776,0
2777,1
2778,1
2779,0
2780,0
2781,0
2782,1
2783,1
2784,1
2785,1
2786,1
2787,1
2788,0
2789,0
2790,0
2791,1
2792,0
2793,0
2794,1
2795,0
2796,1
2797,1
2798,1
2799,1
2800,1
2801,1
2802,1
2803,1
2804,0
2805,1
2806,1
2807,1
2808,1
2809,1
2810,0
2811,1
2812,1
2813,1
2814,1
2815,1
2816,1
2817,1
2818,1
2819,1
2820,1
2821,0
2822,1
2823,0
2824,0
2825,1
2826,1
2827,0
2828,1
2829,1
2830,1
2831,0
2832,1
2833,1
2834,1
2835,1
2836,1
2837,0
2838,0
2839,0
2840,1
2841,1
2842,1
2843,1
2844,0
2845,1
2846,0
2847,1
2848,1
2849,1
2850,0
2851,1
2852,0
2853,1
2854,1
2855,0
2856,1
2857,0
2858,1
2859,0
2860,0
2861,0
2862,1
2863,1
2864,1
2865,1
2866,1
2867,0
2868,0
2869,1
2870,1
2871,0
2872,1
2873,1
2874,1
2875,1
2876,1
2877,0
2878,1
2879,0
2880,0
2881,1
2882,1
2883,1
2884,1
2885,1
2886,0
2887,1
2888,1
2889,0
2890,0
2891,1
2892,1
2893,1
2894,1
2895,0
2896,0
2897,0
2898,1
2899,0
2900,1
2901,1
2902,0
2903,0
2904,1
2905,1
2906,0
2907,0
2908,1
2909,1
2910,1
2911,1
2912,0
2913,0
2914,0
2915,0
2916,0
2917,1
2918,1
2919,0
2920,0
2921,0
2922,1
2923,1
2924,0
2925,1
2926,1
2927,0
2928,1
2929,0
2930,1
2931,1
2932,1
2933,1
2934,1
2935,1
2936,0
2937,0
2938,1
2939,1
2940,1
2941,1
2942,0
2943,0
2944,0
2945,0
2946,1
2947,0
2948,0
2949,1
2950,1
2951,1
2952,1
2953,1
2954,0
2955,1
2956,1
2957,1
2958,0
2959,0
2960,1
2961,0
2962,0
2963,0
2964,1
2965,1
2966,1
2967,0
2968,0
2969,0
2970,1
2971,1
2972,1
2973,1
2974,1
2975,1
2976,0
2977,0
2978,1
2979,1
2980,1
2981,0
2982,1
2983,0
2984,1
2985,0
2986,0
2987,0
2988,1
2989,0
2990,1
2991,1
2992,0
2993,1
2994,1
2995,0
2996,0
2997,1
