ViewsID,CustomerID,Genre,Format,Device,Viewing_Frequency,Total_Viewing_Time,Rating
42,42,Cartoons,TV-Shows,Tv-App,2,186288,4
43,43,Reality,Live-Events,Decoder,8,26738,4
44,44,Reality,Live-Events,Tv-App,8,202308,4
45,45,Music,Live-Events,Mobile-App,9,124578,1
46,46,Talk-Shows,TV-Shows,Decoder,4,435553,4
47,47,Talk-Shows,Live-Events,Tv-App,1,133539,3
48,48,Cartoons,TV-Shows,Tv-App,4,157322,1
49,49,Drama,Live-Events,Mobile-App,1,43278,3
50,50,Music,Live-Events,Tv-App,5,234039,3
51,51,Comedy,Live-Events,Decoder,11,552017,2
52,52,Music,Live-Events,Browser,9,464046,5
53,53,Talk-Shows,TV-Shows,Mobile-App,7,524166,1
54,54,Reality,TV-Shows,Tv-App,2,197323,2
55,55,Documentaries,TV-Shows,Browser,1,458928,2
56,56,Music,TV-Shows,Mobile-App,4,203604,4
57,57,Action,Live-Events,Decoder,5,575870,1
58,58,Music,Live-Events,Decoder,10,55311,3
59,59,Comedy,TV-Shows,Mobile-App,9,440751,3
60,60,Reality,TV-Shows,Decoder,4,215378,5
61,61,News,TV-Shows,Tv-App,6,529831,4
62,62,Talk-Shows,TV-Shows,Mobile-App,2,432285,4
63,63,Sports,TV-Shows,Tv-App,5,172891,4
64,64,News,Live-Events,Tv-App,5,332902,2
65,65,Action,Live-Events,Decoder,0,521660,3
66,66,Comedy,TV-Shows,Tv-App,2,508788,4
67,67,Action,Live-Events,Tv-App,4,384708,5
68,68,News,Live-Events,Browser,3,348590,5
69,69,Music,Live-Events,Mobile-App,9,473575,4
70,70,Cartoons,TV-Shows,Decoder,2,493898,4
71,71,News,TV-Shows,Decoder,2,380277,3
72,72,Reality,Live-Events,Browser,9,89691,2
73,73,Reality,Live-Events,Mobile-App,6,21959,4
74,74,Cartoons,TV-Shows,Mobile-App,1,441350,4
75,75,Religion,Live-Events,Browser,4,144609,3
76,76,Music,TV-Shows,Tv-App,6,545643,4
77,77,Documentaries,TV-Shows,Browser,5,535876,5
78,78,Comedy,Live-Events,Mobile-App,3,52671,1
79,79,Comedy,Live-Events,Tv-App,11,469054,2
80,80,Drama,Live-Events,Tv-App,3,59269,4
81,81,Action,Live-Events,Decoder,2,335398,1
82,82,Cartoons,TV-Shows,Tv-App,3,172357,3
83,83,Reality,Live-Events,Mobile-App,4,521012,4
84,84,Cartoons,Live-Events,Decoder,6,90206,2
85,85,Comedy,TV-Shows,Decoder,3,67037,4
86,86,Comedy,Live-Events,Decoder,11,385337,4
87,87,Action,TV-Shows,Decoder,8,1367,2
88,88,News,TV-Shows,Tv-App,2,466217,2
89,89,Action,TV-Shows,Decoder,2,356281,2
90,90,Comedy,TV-Shows,Mobile-App,8,157820,3
91,91,Sports,TV-Shows,Decoder,9,66553,5
92,92,Religion,TV-Shows,Decoder,7,14125,5
93,93,Sports,Live-Events,Decoder,2,73903,1
94,94,Comedy,Live-Events,Tv-App,2,549366,5
95,95,Documentaries,Live-Events,Mobile-App,10,371605,3
96,96,Comedy,TV-Shows,Decoder,4,436168,2
97,97,Documentaries,Live-Events,Decoder,3,76104,5
98,98,Sports,Live-Events,Tv-App,0,313019,3
99,99,Cartoons,Live-Events,Decoder,8,116159,5
100,100,Reality,TV-Shows,Decoder,2,64285,2
101,101,Music,Live-Events,Tv-App,6,47982,5
102,102,Music,Live-Events,Mobile-App,2,407749,3
103,103,Documentaries,Live-Events,Browser,4,413264,2
104,104,Talk-Shows,TV-Shows,Browser,6,307872,5
105,105,Talk-Shows,Live-Events,Tv-App,1,493603,2
106,106,Religion,TV-Shows,Decoder,9,73607,3
107,107,Cartoons,Live-Events,Tv-App,4,340490,5
108,108,Action,TV-Shows,Mobile-App,3,325417,2
109,109,Comedy,TV-Shows,Tv-App,6,246264,1
110,110,Documentaries,Live-Events,Decoder,2,482887,2
111,111,News,TV-Shows,Tv-App,3,597491,5
112,112,Drama,TV-Shows,Tv-App,0,177220,1
113,113,Action,TV-Shows,Decoder,1,440116,1
114,114,Music,TV-Shows,Browser,10,352679,4
115,115,Comedy,TV-Shows,Mobile-App,8,180380,1
116,116,News,Live-Events,Mobile-App,4,24163,4
117,117,News,TV-Shows,Mobile-App,10,296356,4
118,118,Comedy,Live-Events,Mobile-App,2,181554,2
119,119,Reality,Live-Events,Tv-App,2,314685,3
120,120,Cartoons,Live-Events,Tv-App,7,264837,2
121,121,Cartoons,Live-Events,Decoder,9,456741,3
122,122,Action,TV-Shows,Decoder,2,142730,3
123,123,Talk-Shows,Live-Events,Tv-App,5,492929,1
124,124,Reality,TV-Shows,Tv-App,6,553713,5
125,125,News,TV-Shows,Decoder,6,17434,2
126,126,Cartoons,TV-Shows,Decoder,10,311936,1
127,127,Sports,Live-Events,Tv-App,8,455981,1
128,128,Religion,Live-Events,Tv-App,2,578657,3
129,129,Reality,TV-Shows,Browser,7,389660,5
130,130,Music,TV-Shows,Decoder,2,386844,5
131,131,Music,Live-Events,Decoder,6,504700,4
132,132,Talk-Shows,TV-Shows,Browser,9,55315,2
133,133,Comedy,TV-Shows,Mobile-App,4,410273,1
134,134,Sports,Live-Events,Browser,1,166738,4
135,135,Comedy,TV-Shows,Tv-App,8,304431,3
136,136,Reality,Live-Events,Decoder,3,286194,1
137,137,Reality,Live-Events,Decoder,1,560821,4
138,138,Sports,Live-Events,Mobile-App,11,112739,3
139,139,Cartoons,Live-Events,Decoder,10,329980,2
140,140,Comedy,TV-Shows,Browser,2,294995,4
141,141,Comedy,TV-Shows,Mobile-App,5,541677,3
142,142,Drama,Live-Events,Decoder,9,123733,3
143,143,Documentaries,Live-Events,Browser,7,499227,4
144,144,Cartoons,TV-Shows,Mobile-App,8,484417,3
145,145,Comedy,Live-Events,Tv-App,2,98583,2
146,146,Music,TV-Shows,Tv-App,0,91869,5
147,147,Comedy,TV-Shows,Decoder,1,211377,5
148,148,Action,TV-Shows,Tv-App,5,299137,2
149,149,Religion,Live-Events,Decoder,4,406813,3
150,150,Music,Live-Events,Tv-App,9,265112,1
151,151,News,Live-Events,Browser,6,397782,3
152,152,Music,Live-Events,Browser,3,34281,3
153,153,News,TV-Shows,Mobile-App,2,231496,5
154,154,Religion,Live-Events,Tv-App,7,63453,2
155,155,Religion,Live-Events,Tv-App,3,492022,3
156,156,Sports,Live-Events,Tv-App,0,5549,3
157,157,Documentaries,Live-Events,Decoder,5,65983,4
158,158,News,Live-Events,Decoder,11,451616,2
159,159,Comedy,TV-Shows,Tv-App,6,305703,4
160,160,Religion,Live-Events,Browser,10,128300,4
161,161,Reality,Live-Events,Tv-App,9,325470,1
162,162,Music,TV-Shows,Browser,4,67534,2
163,163,Sports,Live-Events,Mobile-App,1,216461,4
164,164,Comedy,TV-Shows,Tv-App,9,573434,4
165,165,Music,TV-Shows,Browser,3,403108,2
166,166,Cartoons,Live-Events,Tv-App,4,448456,5
167,167,Talk-Shows,TV-Shows,Decoder,8,347528,2
168,168,Comedy,TV-Shows,Decoder,8,186903,3
169,169,Cartoons,TV-Shows,Decoder,1,175886,5
170,170,News,Live-Events,Decoder,1,120208,1
171,171,Sports,Live-Events,Mobile-App,5,590884,4
172,172,Reality,Live-Events,Browser,2,274734,2
173,173,Music,Live-Events,Tv-App,2,448931,4
174,174,News,Live-Events,Browser,8,127324,3
175,175,Comedy,TV-Shows,Tv-App,1,561286,5
176,176,Documentaries,Live-Events,Tv-App,7,150464,1
177,177,Drama,TV-Shows,Decoder,4,415362,2
178,178,Comedy,TV-Shows,Decoder,0,598782,3
179,179,Cartoons,TV-Shows,Mobile-App,9,474226,5
180,180,Sports,TV-Shows,Tv-App,4,124446,3
181,181,Documentaries,TV-Shows,Tv-App,3,320387,4
182,182,Documentaries,Live-Events,Tv-App,6,387232,1
183,183,Documentaries,Live-Events,Browser,8,515426,1
184,184,Music,TV-Shows,Browser,7,185270,2
185,185,Comedy,Live-Events,Mobile-App,11,269220,4
186,186,Comedy,Live-Events,Decoder,4,439286,2
187,187,News,Live-Events,Tv-App,2,525838,2
188,188,Cartoons,TV-Shows,Decoder,0,392466,4
189,189,Music,Live-Events,Tv-App,2,377078,4
190,190,Documentaries,TV-Shows,Tv-App,8,53764,3
191,191,Sports,Live-Events,Tv-App,4,318287,3
192,192,Sports,TV-Shows,Tv-App,2,469134,3
193,193,Comedy,TV-Shows,Tv-App,3,74768,5
194,194,Music,Live-Events,Browser,7,543389,5
195,195,Documentaries,TV-Shows,Decoder,5,515508,5
196,196,Action,TV-Shows,Decoder,1,584939,1
197,197,Talk-Shows,Live-Events,Decoder,9,334272,1
198,198,News,TV-Shows,Tv-App,7,458029,3
199,199,Talk-Shows,Live-Events,Decoder,7,179021,1
200,200,Music,TV-Shows,Tv-App,5,442026,2
201,201,Talk-Shows,Live-Events,Decoder,7,117184,5
202,202,Talk-Shows,TV-Shows,Tv-App,6,314477,4
203,203,Sports,Live-Events,Decoder,4,121107,4
204,204,Drama,Live-Events,Decoder,4,351373,1
205,205,Music,TV-Shows,Tv-App,9,520314,2
206,206,Reality,TV-Shows,Tv-App,8,26201,4
207,207,Comedy,Live-Events,Browser,8,379604,5
208,208,News,Live-Events,Browser,3,197055,4
209,209,Action,Live-Events,Tv-App,9,457938,2
210,210,Comedy,Live-Events,Browser,10,146555,3
211,211,Drama,Live-Events,Decoder,9,592430,3
212,212,News,TV-Shows,Tv-App,8,200543,2
213,213,News,Live-Events,Decoder,4,104257,5
214,214,Music,TV-Shows,Mobile-App,11,229266,5
215,215,Sports,TV-Shows,Mobile-App,10,54777,4
216,216,Action,Live-Events,Decoder,4,555053,2
217,217,Documentaries,Live-Events,Decoder,7,327884,4
218,218,Religion,Live-Events,Mobile-App,8,367655,2
219,219,Reality,TV-Shows,Mobile-App,9,306425,4
220,220,Talk-Shows,Live-Events,Mobile-App,11,8100,5
221,221,Comedy,TV-Shows,Tv-App,2,533183,4
222,222,Sports,TV-Shows,Browser,11,1772,3
223,223,Documentaries,Live-Events,Browser,10,52620,4
224,224,Cartoons,Live-Events,Decoder,8,472789,5
225,225,News,Live-Events,Decoder,3,527900,1
226,226,Comedy,TV-Shows,Tv-App,3,538179,4
227,227,Religion,Live-Events,Browser,6,230130,2
228,228,Reality,Live-Events,Tv-App,8,363748,2
229,229,Music,TV-Shows,Browser,6,562955,3
230,230,Drama,Live-Events,Mobile-App,1,404022,5
231,231,News,Live-Events,Tv-App,9,533308,5
232,232,Reality,TV-Shows,Tv-App,7,549327,4
233,233,News,TV-Shows,Decoder,10,590358,4
234,234,Comedy,TV-Shows,Decoder,6,283830,3
235,235,Comedy,Live-Events,Mobile-App,9,442932,3
236,236,Reality,TV-Shows,Tv-App,10,373837,2
237,237,Comedy,TV-Shows,Mobile-App,4,232145,2
238,238,Comedy,TV-Shows,Decoder,9,174810,3
239,239,Drama,Live-Events,Decoder,2,201306,4
240,240,Cartoons,Live-Events,Browser,1,262665,4
241,241,Religion,TV-Shows,Tv-App,8,552146,2
242,242,Sports,TV-Shows,Mobile-App,2,107765,4
243,243,Drama,TV-Shows,Decoder,7,552449,4
244,244,Action,TV-Shows,Decoder,7,42401,3
245,245,Religion,Live-Events,Decoder,2,143809,1
246,246,News,TV-Shows,Decoder,7,157350,2
247,247,Comedy,TV-Shows,Browser,11,51589,5
248,248,Documentaries,TV-Shows,Decoder,5,520832,1
249,249,Reality,Live-Events,Decoder,9,269262,4
250,250,Reality,Live-Events,Tv-App,7,200132,4
251,251,Action,TV-Shows,Tv-App,4,357886,5
252,252,Action,Live-Events,Tv-App,5,56909,2
253,253,Comedy,Live-Events,Browser,6,378230,3
254,254,Comedy,TV-Shows,Browser,1,65686,3
255,255,Talk-Shows,Live-Events,Decoder,10,546067,1
256,256,Music,TV-Shows,Decoder,9,189763,2
257,257,Reality,Live-Events,Tv-App,3,50333,3
258,258,Reality,TV-Shows,Tv-App,4,594154,5
259,259,Reality,TV-Shows,Decoder,3,332404,3
260,260,Comedy,TV-Shows,Browser,3,82722,4
261,261,Cartoons,Live-Events,Tv-App,10,326807,4
262,262,Music,TV-Shows,Browser,5,269919,2
263,263,Drama,Live-Events,Decoder,8,405072,5
264,264,Comedy,Live-Events,Tv-App,3,568024,4
265,265,Reality,Live-Events,Tv-App,0,557443,4
266,266,Documentaries,TV-Shows,Browser,5,507406,4
267,267,Reality,TV-Shows,Mobile-App,3,251644,1
268,268,Comedy,TV-Shows,Mobile-App,4,147299,3
269,269,Comedy,TV-Shows,Browser,6,452021,2
270,270,Action,TV-Shows,Decoder,10,220693,3
271,271,Reality,TV-Shows,Mobile-App,9,531672,4
272,272,News,TV-Shows,Tv-App,4,283810,2
273,273,News,TV-Shows,Tv-App,1,346850,4
274,274,Religion,TV-Shows,Decoder,5,295404,3
275,275,News,TV-Shows,Tv-App,0,19395,2
276,276,Comedy,Live-Events,Mobile-App,4,10616,1
277,277,Cartoons,TV-Shows,Decoder,3,281639,3
278,278,Comedy,TV-Shows,Tv-App,1,423288,3
279,279,Documentaries,TV-Shows,Mobile-App,2,18859,1
280,280,Action,Live-Events,Browser,9,237454,2
281,281,Comedy,TV-Shows,Decoder,4,323400,3
282,282,Sports,TV-Shows,Decoder,4,594723,1
283,283,Reality,TV-Shows,Mobile-App,6,597114,5
284,284,News,TV-Shows,Mobile-App,6,542843,3
285,285,Religion,TV-Shows,Browser,9,458161,4
286,286,Comedy,Live-Events,Decoder,10,417102,1
287,287,Comedy,TV-Shows,Decoder,6,93804,3
288,288,Documentaries,Live-Events,Decoder,6,227403,1
289,289,Comedy,Live-Events,Browser,11,251913,4
290,290,Sports,Live-Events,Decoder,1,185847,4
291,291,Comedy,TV-Shows,Decoder,11,252934,4
292,292,Action,Live-Events,Tv-App,1,264502,2
293,293,Comedy,Live-Events,Tv-App,5,361429,2
294,294,Reality,TV-Shows,Mobile-App,0,573934,2
295,295,Reality,Live-Events,Tv-App,7,316173,3
296,296,Action,Live-Events,Tv-App,3,113713,2
297,297,Comedy,Live-Events,Tv-App,9,50365,2
298,298,Talk-Shows,Live-Events,Tv-App,10,64758,2
299,299,News,TV-Shows,Browser,1,100012,2
300,300,Cartoons,TV-Shows,Tv-App,6,175526,2
301,301,Comedy,TV-Shows,Decoder,3,505679,5
302,302,Documentaries,Live-Events,Browser,9,426658,2
303,303,Music,TV-Shows,Browser,2,475019,4
304,304,Reality,Live-Events,Tv-App,6,547549,1
305,305,Documentaries,TV-Shows,Mobile-App,11,555346,5
306,306,News,Live-Events,Tv-App,3,473372,1
307,307,Comedy,TV-Shows,Tv-App,2,270052,3
308,308,Sports,TV-Shows,Decoder,2,205130,3
309,309,Action,TV-Shows,Decoder,8,456292,1
310,310,News,Live-Events,Tv-App,9,326550,1
311,311,Cartoons,Live-Events,Browser,9,26483,1
312,312,News,Live-Events,Browser,7,2688,3
313,313,Comedy,TV-Shows,Decoder,1,139824,5
314,314,Comedy,Live-Events,Browser,7,235215,3
315,315,Talk-Shows,Live-Events,Browser,5,133314,2
316,316,Comedy,TV-Shows,Mobile-App,2,252739,4
317,317,Sports,Live-Events,Tv-App,6,55605,5
318,318,Sports,TV-Shows,Decoder,2,494439,2
319,319,Comedy,TV-Shows,Decoder,5,438736,3
320,320,Sports,TV-Shows,Decoder,11,545772,4
321,321,Talk-Shows,TV-Shows,Decoder,10,328353,5
322,322,News,Live-Events,Decoder,11,111373,2
323,323,Music,Live-Events,Decoder,6,78399,2
324,324,Comedy,TV-Shows,Decoder,10,410231,5
325,325,Sports,TV-Shows,Tv-App,9,97119,2
326,326,Action,Live-Events,Mobile-App,6,347819,2
327,327,Comedy,Live-Events,Decoder,9,531765,2
328,328,News,TV-Shows,Tv-App,4,55789,4
329,329,Sports,TV-Shows,Decoder,2,566920,3
330,330,Reality,TV-Shows,Decoder,9,421369,5
331,331,News,Live-Events,Browser,2,405983,2
332,332,Reality,Live-Events,Decoder,7,218004,2
333,333,Sports,Live-Events,Tv-App,2,253498,4
334,334,Action,TV-Shows,Browser,4,590614,2
335,335,Comedy,TV-Shows,Tv-App,11,309072,3
336,336,Documentaries,Live-Events,Tv-App,3,397682,4
337,337,Comedy,Live-Events,Browser,2,310739,3
338,338,Religion,Live-Events,Decoder,2,342585,3
339,339,Talk-Shows,TV-Shows,Decoder,4,487177,3
340,340,Sports,Live-Events,Decoder,11,149470,3
341,341,Drama,Live-Events,Tv-App,4,448168,1
342,342,Sports,Live-Events,Tv-App,6,517743,3
343,343,Cartoons,Live-Events,Mobile-App,1,57867,1
344,344,Comedy,TV-Shows,Tv-App,0,186718,4
345,345,Drama,TV-Shows,Tv-App,3,48492,2
346,346,News,Live-Events,Mobile-App,3,462270,1
347,347,Drama,TV-Shows,Browser,11,524681,5
348,348,Reality,TV-Shows,Tv-App,9,9497,5
349,349,Comedy,Live-Events,Browser,1,259798,4
350,350,Music,Live-Events,Tv-App,3,120176,2
351,351,Sports,TV-Shows,Mobile-App,6,309418,2
352,352,Documentaries,Live-Events,Tv-App,9,68642,3
353,353,Documentaries,TV-Shows,Decoder,1,58417,5
354,354,Documentaries,TV-Shows,Browser,1,26441,2
355,355,News,TV-Shows,Mobile-App,4,31069,4
356,356,News,Live-Events,Tv-App,4,141530,2
357,357,Comedy,TV-Shows,Browser,5,520669,2
358,358,Comedy,Live-Events,Mobile-App,8,350572,2
359,359,Music,TV-Shows,Decoder,10,528582,4
360,360,Reality,Live-Events,Tv-App,7,45409,5
361,361,Comedy,TV-Shows,Decoder,6,574412,2
362,362,Religion,TV-Shows,Browser,7,182937,4
363,363,News,TV-Shows,Mobile-App,1,530897,1
364,364,News,TV-Shows,Browser,2,12348,2
365,365,Documentaries,TV-Shows,Tv-App,8,518498,3
366,366,Drama,TV-Shows,Browser,9,597212,3
367,367,Talk-Shows,Live-Events,Tv-App,10,446006,2
368,368,Cartoons,Live-Events,Tv-App,7,423338,2
369,369,Comedy,TV-Shows,Decoder,0,28756,2
370,370,Reality,Live-Events,Decoder,2,104442,3
371,371,Documentaries,TV-Shows,Tv-App,6,566340,5
372,372,Religion,TV-Shows,Browser,0,404275,4
373,373,Sports,Live-Events,Mobile-App,8,559538,4
374,374,Drama,TV-Shows,Tv-App,10,278339,1
375,375,Sports,Live-Events,Decoder,0,501774,2
376,376,Reality,TV-Shows,Decoder,10,449355,4
377,377,Talk-Shows,Live-Events,Browser,4,425994,2
378,378,Sports,Live-Events,Decoder,2,434335,4
379,379,Comedy,Live-Events,Browser,7,129597,4
380,380,Action,Live-Events,Tv-App,9,601047,2
381,381,Comedy,Live-Events,Decoder,11,599946,3
382,382,Talk-Shows,Live-Events,Tv-App,9,487450,2
383,383,Talk-Shows,TV-Shows,Browser,7,281664,4
384,384,Cartoons,TV-Shows,Decoder,0,31007,1
385,385,News,TV-Shows,Tv-App,6,473351,3
386,386,Sports,Live-Events,Decoder,8,59161,2
387,387,Action,TV-Shows,Mobile-App,0,557290,3
388,388,News,TV-Shows,Mobile-App,9,140324,3
389,389,Reality,Live-Events,Browser,3,173980,4
390,390,Comedy,Live-Events,Decoder,3,75795,3
391,391,Comedy,Live-Events,Tv-App,9,295753,3
392,392,Music,TV-Shows,Tv-App,4,370633,4
393,393,Reality,Live-Events,Tv-App,3,33068,2
394,394,Documentaries,Live-Events,Tv-App,2,198012,3
395,395,Sports,TV-Shows,Mobile-App,4,448624,4
396,396,Cartoons,TV-Shows,Browser,1,324611,4
397,397,Talk-Shows,TV-Shows,Tv-App,4,509202,3
398,398,Talk-Shows,Live-Events,Mobile-App,5,544689,3
399,399,Reality,Live-Events,Tv-App,5,558121,5
400,400,Sports,Live-Events,Decoder,1,135872,3
401,401,Comedy,TV-Shows,Decoder,8,599990,2
402,402,Religion,Live-Events,Mobile-App,4,276728,5
403,403,Music,Live-Events,Tv-App,8,392113,2
404,404,Talk-Shows,Live-Events,Tv-App,3,110871,3
405,405,Sports,TV-Shows,Tv-App,7,420435,5
406,406,Reality,TV-Shows,Mobile-App,5,461114,2
407,407,Comedy,TV-Shows,Decoder,8,269449,1
408,408,Documentaries,TV-Shows,Mobile-App,9,504272,2
409,409,Religion,Live-Events,Tv-App,4,94945,3
410,410,News,TV-Shows,Tv-App,11,445483,4
411,411,Action,Live-Events,Tv-App,0,153857,2
412,412,Cartoons,TV-Shows,Decoder,10,208244,3
413,413,Documentaries,Live-Events,Mobile-App,9,503917,5
414,414,News,Live-Events,Mobile-App,4,582998,5
415,415,Music,Live-Events,Decoder,5,574675,1
416,416,Music,Live-Events,Tv-App,4,312918,2
417,417,Reality,TV-Shows,Browser,5,227318,4
418,418,Drama,Live-Events,Decoder,1,153932,1
419,419,Comedy,TV-Shows,Browser,3,579149,4
420,420,Comedy,TV-Shows,Decoder,4,61065,4
421,421,Comedy,TV-Shows,Mobile-App,8,262398,2
422,422,Documentaries,TV-Shows,Mobile-App,8,19511,4
423,423,Comedy,TV-Shows,Mobile-App,6,405635,4
424,424,Documentaries,Live-Events,Mobile-App,3,328130,3
425,425,Sports,Live-Events,Mobile-App,1,192732,2
426,426,Documentaries,Live-Events,Tv-App,6,30014,2
427,427,Drama,TV-Shows,Mobile-App,1,334537,2
428,428,Cartoons,TV-Shows,Decoder,0,336791,3
429,429,Reality,TV-Shows,Tv-App,4,136291,3
430,430,News,Live-Events,Tv-App,5,487263,2
431,431,Reality,TV-Shows,Tv-App,9,302979,2
432,432,Comedy,TV-Shows,Decoder,3,83078,3
433,433,Comedy,TV-Shows,Tv-App,10,370772,2
434,434,Comedy,Live-Events,Tv-App,1,444812,2
435,435,Music,Live-Events,Browser,1,375075,4
436,436,Action,Live-Events,Tv-App,4,181360,2
437,437,Comedy,Live-Events,Tv-App,10,555149,4
438,438,Comedy,TV-Shows,Decoder,10,564496,2
439,439,Comedy,TV-Shows,Mobile-App,6,6504,4
440,440,Drama,TV-Shows,Tv-App,4,101498,5
441,441,Music,TV-Shows,Tv-App,10,561092,4
442,442,Drama,Live-Events,Decoder,7,71391,1
443,443,Reality,Live-Events,Mobile-App,8,210495,4
444,444,Documentaries,Live-Events,Tv-App,8,528775,5
445,445,Talk-Shows,Live-Events,Decoder,8,105481,2
446,446,Religion,TV-Shows,Decoder,1,314255,5
447,447,Reality,Live-Events,Tv-App,7,133417,2
448,448,Talk-Shows,Live-Events,Tv-App,1,18038,2
449,449,Sports,TV-Shows,Decoder,8,299412,3
450,450,Documentaries,Live-Events,Decoder,3,267467,4
451,451,Action,TV-Shows,Tv-App,7,507093,2
452,452,Reality,TV-Shows,Tv-App,4,93545,5
453,453,Cartoons,Live-Events,Decoder,5,294464,2
454,454,Drama,TV-Shows,Browser,3,496966,5
455,455,Drama,TV-Shows,Tv-App,2,406314,5
456,456,Comedy,Live-Events,Decoder,4,176170,3
457,457,Cartoons,Live-Events,Decoder,4,415443,1
458,458,Comedy,TV-Shows,Browser,2,188977,3
459,459,Drama,TV-Shows,Decoder,2,105484,5
460,460,Drama,TV-Shows,Mobile-App,5,590724,1
461,461,Cartoons,TV-Shows,Mobile-App,5,121612,2
462,462,Cartoons,TV-Shows,Tv-App,9,497751,2
463,463,Action,TV-Shows,Decoder,6,205933,5
464,464,Cartoons,Live-Events,Decoder,9,426841,4
465,465,Cartoons,Live-Events,Tv-App,2,598912,1
466,466,Drama,Live-Events,Tv-App,6,482552,4
467,467,Comedy,TV-Shows,Browser,5,415687,2
468,468,Reality,TV-Shows,Decoder,2,261601,3
469,469,Music,TV-Shows,Browser,8,118670,2
470,470,Religion,Live-Events,Browser,9,35057,5
471,471,Talk-Shows,Live-Events,Browser,10,185658,1
472,472,Drama,Live-Events,Mobile-App,9,50225,3
473,473,Documentaries,Live-Events,Tv-App,10,196017,2
474,474,Reality,Live-Events,Tv-App,3,7114,2
475,475,Reality,Live-Events,Decoder,7,193532,4
476,476,News,Live-Events,Decoder,6,230811,1
477,477,Drama,Live-Events,Browser,7,195133,4
478,478,Comedy,Live-Events,Tv-App,6,53395,3
479,479,Reality,TV-Shows,Tv-App,7,157094,4
480,480,Documentaries,TV-Shows,Decoder,3,239088,4
481,481,News,TV-Shows,Tv-App,3,509004,3
482,482,Sports,Live-Events,Browser,9,385463,5
483,483,News,TV-Shows,Decoder,10,549480,1
484,484,Sports,Live-Events,Mobile-App,3,48943,3
485,485,Comedy,Live-Events,Decoder,0,525077,4
486,486,Reality,TV-Shows,Decoder,2,530517,3
487,487,Talk-Shows,Live-Events,Mobile-App,6,385702,4
488,488,Reality,TV-Shows,Browser,5,290129,3
489,489,Talk-Shows,TV-Shows,Mobile-App,2,405614,2
490,490,Cartoons,Live-Events,Browser,10,289244,2
491,491,Comedy,Live-Events,Tv-App,5,338930,1
492,492,Comedy,TV-Shows,Tv-App,1,50877,2
493,493,Sports,TV-Shows,Decoder,3,72678,4
494,494,Documentaries,Live-Events,Browser,2,94775,3
495,495,Action,TV-Shows,Tv-App,9,360470,3
496,496,Reality,Live-Events,Decoder,6,573865,3
497,497,Sports,TV-Shows,Decoder,3,215594,1
498,498,Action,Live-Events,Mobile-App,6,84445,3
499,499,Reality,TV-Shows,Mobile-App,4,133496,5
500,500,Reality,Live-Events,Decoder,6,57984,3
501,501,News,Live-Events,Tv-App,4,86896,4
502,502,News,Live-Events,Decoder,10,179269,4
503,503,Sports,TV-Shows,Browser,10,507402,4
504,504,Talk-Shows,Live-Events,Decoder,1,56923,2
505,505,Cartoons,Live-Events,Mobile-App,10,145960,3
506,506,News,Live-Events,Decoder,7,532461,2
